Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELINST,2024-01-08T15:40:00Z,2024-01-08T15:35:00Z,2024-01-08,32,WIND,10549
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,BIOMASS,2987
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,CCGT,23400
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,COAL,1360
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,INTELEC,-27
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,INTEW,0
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,INTFR,-998
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,INTIFA2,-4
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,INTIRL,-269
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,INTNED,1003
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,INTNEM,-324
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,INTNSL,250
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,INTVKL,-146
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,NPSHYD,727
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,NUCLEAR,3460
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,OCGT,0
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,OIL,0
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,OTHER,357
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,PS,354
FUELINST,2024-01-08T15:35:00Z,2024-01-08T15:30:00Z,2024-01-08,32,WIND,10524
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,BIOMASS,2979
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,CCGT,23289
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,COAL,1359
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,INTELEC,-27
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,INTEW,10
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,INTFR,-998
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,INTIFA2,-4
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,INTIRL,-244
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,INTNED,1003
FUELINST,2024-01-08T15:30:00Z,2024-01-08T15:25:00Z,2024-01-08,31,INTNEM,-324
